match_id,ipl_season,team1,team2,toss_winner,toss_decision,match_won_by,win_type,win_margin,venue
598002,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,9.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598003,2013,Pune Warriors,Punjab Kings,Pune Warriors,bat,Punjab Kings,wickets,8.0,Subrata Roy Sahara Stadium
598004,2013,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,,,,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598005,2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,runs,19.0,Sawai Mansingh Stadium
598006,2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,44.0,"Wankhede Stadium, Mumbai"
598007,2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,10.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598008,2013,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,"M Chinnaswamy Stadium, Bengaluru"
598009,2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,wickets,7.0,Subrata Roy Sahara Stadium
598010,2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,3.0,"Arun Jaitley Stadium, Delhi"
598011,2013,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,runs,41.0,"Wankhede Stadium, Mumbai"
598012,2013,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598013,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,48.0,"Eden Gardens, Kolkata"
598014,2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,Sawai Mansingh Stadium
598015,2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,runs,24.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598016,2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,runs,4.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598017,2013,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,,,,"M Chinnaswamy Stadium, Bengaluru"
598018,2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,runs,11.0,"Maharashtra Cricket Association Stadium, Pune"
598019,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,runs,87.0,Sawai Mansingh Stadium
598020,2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,86.0,"Arun Jaitley Stadium, Delhi"
598021,2013,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,wickets,5.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598022,2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,4.0,"Eden Gardens, Kolkata"
598023,2013,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7.0,"M Chinnaswamy Stadium, Bengaluru"
598024,2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,wickets,9.0,"Arun Jaitley Stadium, Delhi"
598025,2013,Pune Warriors,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598026,2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,wickets,5.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598027,2013,Royal Challengers Bengaluru,Pune Warriors,Pune Warriors,field,Royal Challengers Bengaluru,runs,130.0,"M Chinnaswamy Stadium, Bengaluru"
598028,2013,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,7.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
598029,2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,5.0,"Eden Gardens, Kolkata"
598030,2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,5.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598031,2013,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,wickets,6.0,"Eden Gardens, Kolkata"
598032,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,8.0,Sawai Mansingh Stadium
598033,2013,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,runs,58.0,"Wankhede Stadium, Mumbai"
598034,2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,14.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598035,2013,Delhi Capitals,Pune Warriors,Pune Warriors,field,Delhi Capitals,runs,15.0,Shaheed Veer Narayan Singh International Stadium
598036,2013,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,Sawai Mansingh Stadium
598037,2013,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,runs,4.0,"Wankhede Stadium, Mumbai"
598038,2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,runs,37.0,Subrata Roy Sahara Stadium
598039,2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,wickets,7.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598040,2013,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,wickets,7.0,Shaheed Veer Narayan Singh International Stadium
598041,2013,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,15.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598042,2013,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,17.0,Subrata Roy Sahara Stadium
598043,2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,wickets,8.0,"Eden Gardens, Kolkata"
598044,2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,6.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598045,2013,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,"M Chinnaswamy Stadium, Bengaluru"
598046,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,60.0,"Wankhede Stadium, Mumbai"
598047,2013,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,wickets,5.0,Sawai Mansingh Stadium
598048,2013,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,Royal Challengers Bengaluru,wickets,7.0,"M Chinnaswamy Stadium, Bengaluru"
598049,2013,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,wickets,9.0,Sawai Mansingh Stadium
598050,2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,runs,65.0,"Wankhede Stadium, Mumbai"
598051,2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,77.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598052,2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598053,2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,46.0,Subrata Roy Sahara Stadium
598054,2013,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,4.0,"Arun Jaitley Stadium, Delhi"
598055,2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,wickets,5.0,Subrata Roy Sahara Stadium
598056,2013,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,runs,30.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598057,2013,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5.0,JSCA International Stadium Complex
598058,2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,Sawai Mansingh Stadium
598059,2013,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5.0,"Arun Jaitley Stadium, Delhi"
598060,2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,wickets,7.0,"Wankhede Stadium, Mumbai"
598061,2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors,runs,7.0,JSCA International Stadium Complex
598062,2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,"MA Chidambaram Stadium, Chepauk, Chennai"
598063,2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,14.0,"Wankhede Stadium, Mumbai"
598064,2013,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
598065,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,23.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598066,2013,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,50.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
598067,2013,Pune Warriors,Delhi Capitals,Pune Warriors,bat,Pune Warriors,runs,38.0,Subrata Roy Sahara Stadium
598068,2013,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,24.0,"M Chinnaswamy Stadium, Bengaluru"
598069,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,wickets,5.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
598070,2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,48.0,"Arun Jaitley Stadium, Delhi"
598071,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,4.0,"Arun Jaitley Stadium, Delhi"
598072,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,wickets,4.0,"Eden Gardens, Kolkata"
598073,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,23.0,"Eden Gardens, Kolkata"
729279,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,41.0,Sheikh Zayed Stadium
729281,2014,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,Sharjah Cricket Stadium
729283,2014,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,wickets,6.0,Sheikh Zayed Stadium
729285,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,Sheikh Zayed Stadium
729287,2014,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7.0,Dubai International Cricket Stadium
729289,2014,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,wickets,4.0,Dubai International Cricket Stadium
729291,2014,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,Sharjah Cricket Stadium
729293,2014,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,93.0,Sheikh Zayed Stadium
729295,2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,runs,72.0,Sharjah Cricket Stadium
729297,2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,7.0,Dubai International Cricket Stadium
729299,2014,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,2.0,Sharjah Cricket Stadium
729301,2014,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,4.0,Dubai International Cricket Stadium
729303,2014,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,Dubai International Cricket Stadium
729305,2014,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,Sheikh Zayed Stadium
729307,2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,runs,23.0,Sheikh Zayed Stadium
729309,2014,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,wickets,6.0,Sharjah Cricket Stadium
729311,2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,5.0,Sharjah Cricket Stadium
729313,2014,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5.0,Dubai International Cricket Stadium
729315,2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,,,,Sheikh Zayed Stadium
729317,2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,runs,15.0,Dubai International Cricket Stadium
733971,2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,34.0,JSCA International Stadium Complex
733973,2014,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,wickets,5.0,"Wankhede Stadium, Mumbai"
733975,2014,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,"Arun Jaitley Stadium, Delhi"
733977,2014,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4.0,"M Chinnaswamy Stadium, Bengaluru"
733979,2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,runs,10.0,"Sardar Patel Stadium, Motera"
733981,2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,"Arun Jaitley Stadium, Delhi"
733983,2014,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Mumbai Indians,runs,19.0,"Wankhede Stadium, Mumbai"
733985,2014,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,8.0,"Arun Jaitley Stadium, Delhi"
733987,2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,44.0,Barabati Stadium
733989,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,runs,32.0,"Sardar Patel Stadium, Motera"
733991,2014,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Punjab Kings,runs,32.0,"M Chinnaswamy Stadium, Bengaluru"
733993,2014,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,"Arun Jaitley Stadium, Delhi"
733995,2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,"Wankhede Stadium, Mumbai"
733997,2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9.0,Barabati Stadium
733999,2014,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Rajasthan Royals,wickets,5.0,"M Chinnaswamy Stadium, Bengaluru"
734001,2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,wickets,7.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
734003,2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,wickets,5.0,JSCA International Stadium Complex
734005,2014,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,16.0,"M Chinnaswamy Stadium, Bengaluru"
734007,2014,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
734009,2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,Barabati Stadium
734011,2014,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,62.0,"Sardar Patel Stadium, Motera"
734013,2014,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Royal Challengers Bengaluru,wickets,5.0,JSCA International Stadium Complex
734015,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
734017,2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,25.0,"Sardar Patel Stadium, Motera"
734019,2014,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4.0,"Arun Jaitley Stadium, Delhi"
734021,2014,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Sunrisers Hyderabad,wickets,7.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
734023,2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,"Eden Gardens, Kolkata"
734025,2014,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,7.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
734027,2014,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,30.0,"Eden Gardens, Kolkata"
734029,2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,JSCA International Stadium Complex
734031,2014,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,15.0,"Wankhede Stadium, Mumbai"
734033,2014,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,16.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
734035,2014,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,"M Chinnaswamy Stadium, Bengaluru"
734037,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,"Eden Gardens, Kolkata"
734039,2014,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
734041,2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,"Wankhede Stadium, Mumbai"
734043,2014,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,runs,28.0,"Eden Gardens, Kolkata"
734045,2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,Brabourne Stadium
734047,2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,24.0,"Wankhede Stadium, Mumbai"
734049,2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,3.0,"M Chinnaswamy Stadium, Bengaluru"
829705,2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,"Eden Gardens, Kolkata"
829707,2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,1.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829709,2015,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,runs,26.0,"Maharashtra Cricket Association Stadium, Pune"
829711,2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,45.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829713,2015,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,3.0,"Eden Gardens, Kolkata"
829715,2015,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,"Arun Jaitley Stadium, Delhi"
829717,2015,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,18.0,"Wankhede Stadium, Mumbai"
829719,2015,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,"M Chinnaswamy Stadium, Bengaluru"
829721,2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,7.0,"Sardar Patel Stadium, Motera"
829723,2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,"Eden Gardens, Kolkata"
829725,2015,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,wickets,5.0,"Maharashtra Cricket Association Stadium, Pune"
829727,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829729,2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,wickets,6.0,"Wankhede Stadium, Mumbai"
829731,2015,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,4.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829733,2015,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,"Maharashtra Cricket Association Stadium, Pune"
829735,2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,"Sardar Patel Stadium, Motera"
829737,2015,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Mumbai Indians,runs,18.0,"M Chinnaswamy Stadium, Bengaluru"
829739,2015,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,"Arun Jaitley Stadium, Delhi"
829741,2015,Rajasthan Royals,Punjab Kings,Punjab Kings,field,,,,"Sardar Patel Stadium, Motera"
829743,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,16.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829745,2015,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,27.0,"M Chinnaswamy Stadium, Bengaluru"
829747,2015,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,"Arun Jaitley Stadium, Delhi"
829749,2015,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9.0,"Sardar Patel Stadium, Motera"
829751,2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,20.0,"Wankhede Stadium, Mumbai"
829753,2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,97.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829757,2015,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,10.0,"Arun Jaitley Stadium, Delhi"
829759,2015,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,runs,20.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
829761,2015,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,13.0,"Eden Gardens, Kolkata"
829763,2015,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,,,,"M Chinnaswamy Stadium, Bengaluru"
829765,2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,2.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829767,2015,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,9.0,"Arun Jaitley Stadium, Delhi"
829769,2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,8.0,"Wankhede Stadium, Mumbai"
829771,2015,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7.0,"M Chinnaswamy Stadium, Bengaluru"
829773,2015,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,runs,22.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
829775,2015,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,runs,23.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
829777,2015,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,14.0,Brabourne Stadium
829779,2015,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829781,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,35.0,"Eden Gardens, Kolkata"
829783,2015,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,"Wankhede Stadium, Mumbai"
829785,2015,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,runs,138.0,"M Chinnaswamy Stadium, Bengaluru"
829787,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,runs,7.0,Brabourne Stadium
829789,2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,wickets,6.0,"MA Chidambaram Stadium, Chepauk, Chennai"
829791,2015,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,wickets,1.0,"Eden Gardens, Kolkata"
829793,2015,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,6.0,Shaheed Veer Narayan Singh International Stadium
829795,2015,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,39.0,"Wankhede Stadium, Mumbai"
829797,2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,12.0,"MA Chidambaram Stadium, Chepauk, Chennai"
